Event,Gold,Gold.1,Silver,Silver.1,Bronze,Bronze.1,Year,Discipline,Male/Female/Mixed,Status,Date,Participants,NOCs
"100 metres, Men",Usain Bolt,JAM,Yohan Blake,JAM,Justin Gatlin,USA,2012,Athletics,,,,,
"200 metres, Men",Usain Bolt,JAM,Yohan Blake,JAM,Warren Weir,JAM,2012,Athletics,,,,,
"400 metres, Men",Kirani James,GRN,LuguelÃ­n Santos,DOM,Lalonde Gordon,TTO,2012,Athletics,,,,,
"800 metres, Men",David Rudisha,KEN,Nijel Amos,BOT,Timothy Kitum,KEN,2012,Athletics,,,,,
"1,500 metres, Men",Taoufik Makhloufi,ALG,Leo Manzano,USA,Abdalaati Iguider,MAR,2012,Athletics,,,,,
"5,000 metres, Men",Mo Farah,GBR,Dejen Gebremeskel,ETH,Thomas Longosiwa,KEN,2012,Athletics,,,,,
"10,000 metres, Men",Mo Farah,GBR,Galen Rupp,USA,Tariku Bekele,ETH,2012,Athletics,,,,,
"Marathon, Men",Stephen Kiprotich,UGA,Abel Kirui,KEN,Wilson Kipsang Kiprotich,KEN,2012,Athletics,,,,,
"110 metres Hurdles, Men",Aries Merritt,USA,Jason Richardson,USA,Hansle Parchment,JAM,2012,Athletics,,,,,
"400 metres Hurdles, Men",FÃ©lix SÃ¡nchez,DOM,Michael Tinsley,USA,Javier Culson,PUR,2012,Athletics,,,,,
"3,000 metres Steeplechase, Men",Ezekiel Kemboi,KEN,Mahiedine Mekhissi-Benabbad,FRA,Abel Mutai,KEN,2012,Athletics,,,,,
"4 Ã 100 metres Relay, Men",Jamaica,JAM,Trinidad and Tobago,TTO,France,FRA,2012,Athletics,,,,,
"4 Ã 400 metres Relay, Men",The Bahamas,BAH,United States,USA,Trinidad and Tobago,TTO,2012,Athletics,,,,,
"20 kilometres Walk, Men",Chen Ding,CHN,Erick Barrondo,GUA,Wang Zhen,CHN,2012,Athletics,,,,,
"50 kilometres Walk, Men",Jared Tallent,AUS,Si Tianfeng,CHN,Robbie Heffernan,IRL,2012,Athletics,,,,,
"High Jump, Men",â,â,Erik Kynard,USA,Mutaz Essa BarshimDerek DrouinRobbie Grabarz,QATCANGBR,2012,Athletics,,,,,
"Pole Vault, Men",Renaud Lavillenie,FRA,BjÃ¶rn Otto,GER,Raphael Holzdeppe,GER,2012,Athletics,,,,,
"Long Jump, Men",Greg Rutherford,GBR,Mitch Watt,AUS,Will Claye,USA,2012,Athletics,,,,,
"Triple Jump, Men",Christian Taylor,USA,Will Claye,USA,Fabrizio Donato,ITA,2012,Athletics,,,,,
"Shot Put, Men",Tomasz Majewski,POL,David Storl,GER,Reese Hoffa,USA,2012,Athletics,,,,,
"Discus Throw, Men",Robert Harting,GER,Ehsan Haddadi,IRI,Gerd Kanter,EST,2012,Athletics,,,,,
"Hammer Throw, Men",KrisztiÃ¡n Pars,HUN,PrimoÅ¾ Kozmus,SLO,Koji Murofushi,JPN,2012,Athletics,,,,,
"Javelin Throw, Men",Keshorn Walcott,TTO,Antti Ruuskanen,FIN,VÃ­tÄzslav VeselÃ½,CZE,2012,Athletics,,,,,
"Decathlon, Men",Ashton Eaton,USA,Trey Hardee,USA,Leonel SuÃ¡rez,CUB,2012,Athletics,,,,,
"100 metres, Women",Shelly-Ann Fraser-Pryce,JAM,Carmelita Jeter,USA,Veronica Campbell-Brown,JAM,2012,Athletics,,,,,
"200 metres, Women",Allyson Felix,USA,Shelly-Ann Fraser-Pryce,JAM,Carmelita Jeter,USA,2012,Athletics,,,,,
"400 metres, Women",Sanya Richards-Ross,USA,Christine Ohuruogu,GBR,DeeDee Trotter,USA,2012,Athletics,,,,,
"800 metres, Women",Caster Semenya,RSA,Yekaterina Poistogova,RUS,Pamela Jelimo,KEN,2012,Athletics,,,,,
"1,500 metres, Women",Maryam Jamal,BRN,Tatyana Tomashova,RUS,Abeba Aregawi,ETH,2012,Athletics,,,,,
"5,000 metres, Women",Meseret Defar,ETH,Vivian Cheruiyot,KEN,Tirunesh Dibaba,ETH,2012,Athletics,,,,,
"10,000 metres, Women",Tirunesh Dibaba,ETH,Sally Kipyego,KEN,Vivian Cheruiyot,KEN,2012,Athletics,,,,,
"Marathon, Women",Tiki Gelana,ETH,Priscah Jeptoo,KEN,Tatyana Petrova-Arkhipova,RUS,2012,Athletics,,,,,
"100 metres Hurdles, Women",Sally Pearson,AUS,Dawn Harper,USA,Kellie Wells,USA,2012,Athletics,,,,,
"400 metres Hurdles, Women",Nataliya Antyukh,RUS,Lashinda Demus,USA,Zuzana HejnovÃ¡,CZE,2012,Athletics,,,,,
"3,000 metres Steeplechase, Women",Habiba Ghribi,TUN,Sofia Assefa,ETH,Milcah Chemos Cheywa,KEN,2012,Athletics,,,,,
"4 Ã 100 metres Relay, Women",United States,USA,Jamaica,JAM,Ukraine,UKR,2012,Athletics,,,,,
"4 Ã 400 metres Relay, Women",United States,USA,Jamaica,JAM,Ukraine,UKR,2012,Athletics,,,,,
"20 kilometres Walk, Women",Yelena Lashmanova,RUS,Qieyang Shijie,CHN,Liu Hong,CHN,2012,Athletics,,,,,
"High Jump, Women",Anna Chicherova,RUS,Brigetta Barrett,USA,â,â,2012,Athletics,,,,,
"Pole Vault, Women",Jenn Suhr,USA,Yarisley Silva,CUB,Yelena Isinbayeva,RUS,2012,Athletics,,,,,
"Long Jump, Women",Brittney Reese,USA,Yelena Sokolova,RUS,Janay DeLoach,USA,2012,Athletics,,,,,
"Triple Jump, Women",Olga Rypakova,KAZ,Caterine IbargÃ¼en,COL,Olha Saladukha,UKR,2012,Athletics,,,,,
"Shot Put, Women",Valerie Adams,NZL,Gong Lijiao,CHN,Li Ling,CHN,2012,Athletics,,,,,
"Discus Throw, Women",Sandra PerkoviÄ,CRO,Li Yanfeng,CHN,Yarelis Barrios,CUB,2012,Athletics,,,,,
"Hammer Throw, Women",Anita WÅodarczyk,POL,Betty Heidler,GER,Zhang Wenxiu,CHN,2012,Athletics,,,,,
"Javelin Throw, Women",Barbora Å potÃ¡kovÃ¡,CZE,Christina ObergfÃ¶ll,GER,Linda Stahl,GER,2012,Athletics,,,,,
"Heptathlon, Women",Jessica Ennis,GBR,Lilli Schwarzkopf,GER,Austra SkujytÄ,LTU,2012,Athletics,,,,,
"Singles, Men",Lin Dan,CHN,Lee Chong Wei,MAS,Chen Long,CHN,2012,Badminton,,,,,
"Doubles, Men",People's Republic of China 1,CHN,Denmark,DEN,Republic of Korea 1,KOR,2012,Badminton,,,,,
"Singles, Women",Li Xuerui,CHN,Wang Yihan,CHN,Saina Nehwal,IND,2012,Badminton,,,,,
"Doubles, Women",People's Republic of China 1,CHN,Japan 1,JPN,Russian Federation,RUS,2012,Badminton,,,,,
"Doubles, Mixed",People's Republic of China 1,CHN,People's Republic of China 2,CHN,Denmark 1,DEN,2012,Badminton,,,,,
"Basketball, Men",United States,USA,Spain,ESP,Russian Federation,RUS,2012,Basketball,,,,,
"Basketball, Women",United States,USA,France,FRA,Australia,AUS,2012,Basketball,,,,,
"Beach Volleyball, Men",Germany 1,GER,Brazil 1,BRA,Latvia 1,LAT,2012,Beach Volleyball,,,,,
"Beach Volleyball, Women",United States 1,USA,United States 2,USA,Brazil 1,BRA,2012,Beach Volleyball,,,,,
"Light-Flyweight, Men",Zou Shiming,CHN,Kaeo Pongprayoon,THA,Paddy BarnesDavid Ayrapetyan,IRLRUS,2012,Boxing,,,,,
"Flyweight, Men",Robeisy RamÃ­rez,CUB,Nyambayaryn TÃ¶gstsogt,MGL,Misha AloyanMichael Conlan,RUSIRL,2012,Boxing,,,,,
"Bantamweight, Men",Luke Campbell,GBR,John Joe Nevin,IRL,LÃ¡zaro ÃlvarezSatoshi Shimizu,CUBJPN,2012,Boxing,,,,,
"Lightweight, Men",Vasyl Lomachenko,UKR,Han Sun-Cheol,KOR,Yasniel ToledoEvaldas Petrauskas,CUBLTU,2012,Boxing,,,,,
"Light-Welterweight, Men",Roniel Iglesias,CUB,Denys Berinchyk,UKR,Vincenzo MangiacapreUranchimegiin MÃ¶nkh-Erdene,ITAMGL,2012,Boxing,,,,,
"Welterweight, Men",Serik Sapiyev,KAZ,Fred Evans,GBR,Taras ShelestiukAndrey Zamkovoy,UKRRUS,2012,Boxing,,,,,
"Middleweight, Men",Ryota Murata,JPN,Esquiva Florentino,BRA,Anthony OgogoAbbos Atoyev,GBRUZB,2012,Boxing,,,,,
"Light-Heavyweight, Men",Yegor Mekhontsev,RUS,Adilbek Niyazymbetov,KAZ,Yamaguchi FalcÃ£oOleksandr Hvozdyk,BRAUKR,2012,Boxing,,,,,
"Heavyweight, Men",Oleksandr Usik,UKR,Clemente Russo,ITA,Tervel PulevTeymur MÉmmÉdov,BULAZE,2012,Boxing,,,,,
"Super-Heavyweight, Men",Anthony Joshua,GBR,Roberto Cammarelle,ITA,MÉhÉmmÉdrÉsul MÉcidovIvan Dychko,AZEKAZ,2012,Boxing,,,,,
"Flyweight, Women",Nicola Adams,GBR,Ren Cancan,CHN,Marlen EsparzaMary Kom,USAIND,2012,Boxing,,,,,
"Lightweight, Women",Katie Taylor,IRL,Sofya Ochigava,RUS,Mavzuna ChorievaAdriana AraÃºjo,TJKBRA,2012,Boxing,,,,,
"Middleweight, Women",Claressa Shields,USA,Nadezhda Torlopova,RUS,Marina VolnovaLi Jinzi,KAZCHN,2012,Boxing,,,,,
"Kayak Singles, Slalom, Men",Daniele Molmenti,ITA,VavÅinec Hradilek,CZE,Hannes Aigner,GER,2012,Canoe Slalom,,,,,
"Canadian Singles, Slalom, Men",Tony Estanguet,FRA,Sideris Tasiadis,GER,Michal MartikÃ¡n,SVK,2012,Canoe Slalom,,,,,
"Canadian Doubles, Slalom, Men",Great Britain 1,GBR,Great Britain 2,GBR,Slovakia,SVK,2012,Canoe Slalom,,,,,
"Kayak Singles, Slalom, Women",Ãmilie Fer,FRA,Jess Fox,AUS,Maialen Chourraut,ESP,2012,Canoe Slalom,,,,,
"Kayak Singles, 200 metres, Men",Ed McKeever,GBR,SaÃºl Craviotto,ESP,Mark de Jonge,CAN,2012,Canoe Sprint,,,,,
"Kayak Singles, 1,000 metres, Men",Eirik VerÃ¥s Larsen,NOR,Adam Van Koeverden,CAN,Max Hoff,GER,2012,Canoe Sprint,,,,,
"Kayak Doubles, 200 metres, Men",Russian Federation,RUS,Belarus,BLR,Great Britain,GBR,2012,Canoe Sprint,,,,,
"Kayak Doubles, 1,000 metres, Men",Hungary,HUN,Portugal,POR,Germany,GER,2012,Canoe Sprint,,,,,
"Kayak Fours, 1,000 metres, Men",Australia,AUS,Hungary,HUN,Czech Republic,CZE,2012,Canoe Sprint,,,,,
"Canadian Singles, 200 metres, Men",Yuriy Cheban,UKR,â,â,Ivan Shtyl,RUS,2012,Canoe Sprint,,,,,
"Canadian Singles, 1,000 metres, Men",Sebastian Brendel,GER,David Cal,ESP,Mark Oldershaw,CAN,2012,Canoe Sprint,,,,,
"Canadian Doubles, 1,000 metres, Men",Germany,GER,Belarus,BLR,Russian Federation,RUS,2012,Canoe Sprint,,,,,
"Kayak Singles, 200 metres, Women",Lisa Carrington,NZL,Inna Osypenko-Radomska,UKR,Natasa Dusev-Janics,HUN,2012,Canoe Sprint,,,,,
"Kayak Singles, 500 metres, Women",Danuta KozÃ¡k,HUN,Inna Osypenko-Radomska,UKR,Bridgitte Hartley,RSA,2012,Canoe Sprint,,,,,
"Kayak Doubles, 500 metres, Women",Germany,GER,Hungary,HUN,Poland,POL,2012,Canoe Sprint,,,,,
"Kayak Fours, 500 metres, Women",Hungary,HUN,Germany,GER,Belarus,BLR,2012,Canoe Sprint,,,,,
"BMX, Men",MÄris Å trombergs,LAT,Sam Willoughby,AUS,Carlos Oquendo,COL,2012,Cycling BMX Racing,,,,,
"BMX, Women",Mariana PajÃ³n,COL,Sarah Walker,NZL,Laura Smulders,NED,2012,Cycling BMX Racing,,,,,
"Cross-Country, Men",Jaroslav KulhavÃ½,CZE,Nino Schurter,SUI,Marco Aurelio Fontana,ITA,2012,Cycling Mountain Bike,,,,,
"Cross-Country, Women",Julie Bresset,FRA,Sabine Spitz,GER,Georgia Gould,USA,2012,Cycling Mountain Bike,,,,,
"Road Race, Individual, Men",Aleksandr Vinokurov,KAZ,Rigoberto UrÃ¡n,COL,Alexander Kristoff,NOR,2012,Cycling Road,,,,,
"Individual Time Trial, Men",Bradley Wiggins,GBR,Tony Martin,GER,Chris Froome,GBR,2012,Cycling Road,,,,,
"Road Race, Individual, Women",Marianne Vos,NED,Lizzie Armitstead,GBR,Olga Zabelinskaya,RUS,2012,Cycling Road,,,,,
"Individual Time Trial, Women",Kristin Armstrong,USA,Judith Arndt,GER,Olga Zabelinskaya,RUS,2012,Cycling Road,,,,,
"Sprint, Men",Jason Kenny,GBR,Gr�gory Baug�,FRA,Shane Perkins,AUS,2012,Cycling Track,,,,,
"Keirin, Men",Chris Hoy,GBR,Maximilian Levy,GER,Simon van VelthoovenTeun Mulder,NEDNZL,2012,Cycling Track,,,,,
"Team Sprint, Men",Great Britain,GBR,France,FRA,Germany,GER,2012,Cycling Track,,,,,
"Team Pursuit, 4,000 metres, Men",Great Britain,GBR,Australia,AUS,New Zealand,NZL,2012,Cycling Track,,,,,
"Omnium, Men",Lasse Norman Hansen,DEN,Bryan Coquard,FRA,Ed Clancy,GBR,2012,Cycling Track,,,,,
"Sprint, Women",Anna Meares,AUS,Vicki Pendleton,GBR,Guo Shuang,CHN,2012,Cycling Track,,,,,
"Keirin, Women",Vicki Pendleton,GBR,Guo Shuang,CHN,Sarah Lee,HKG,2012,Cycling Track,,,,,
"Team Sprint, Women",Germany,GER,People's Republic of China,CHN,Australia,AUS,2012,Cycling Track,,,,,
"Team Pursuit, Women",Great Britain,GBR,United States,USA,Canada,CAN,2012,Cycling Track,,,,,
"Omnium, Women",Laura Trott,GBR,Sarah Hammer,USA,Annette Edmondson,AUS,2012,Cycling Track,,,,,
"Springboard, Men",Ilya Zakharov,RUS,Qin Kai,CHN,He Chong,CHN,2012,Diving,,,,,
"Platform, Men",David Boudia,USA,Qiu Bo,CHN,Tom Daley,GBR,2012,Diving,,,,,
"Synchronized Springboard, Men",People's Republic of China,CHN,Russian Federation,RUS,United States,USA,2012,Diving,,,,,
"Synchronized Platform, Men",People's Republic of China,CHN,Mexico,MEX,United States,USA,2012,Diving,,,,,
"Springboard, Women",Wu Minxia,CHN,He Zi,CHN,Laura SÃ¡nchez,MEX,2012,Diving,,,,,
"Platform, Women",Chen Ruolin,CHN,Brittany Broben,AUS,Pandelela Rinong,MAS,2012,Diving,,,,,
"Synchronized Springboard, Women",People's Republic of China,CHN,United States,USA,Canada,CAN,2012,Diving,,,,,
"Synchronized Platform, Women",People's Republic of China,CHN,Mexico,MEX,Canada,CAN,2012,Diving,,,,,
"Individual, Open",Charlotte Dujardin,GBR,Adelinde Cornelissen,NED,Laura Bechtolsheimer,GBR,2012,Equestrian Dressage,,,,,
"Team, Open",Great Britain,GBR,Germany,GER,Netherlands,NED,2012,Equestrian Dressage,,,,,
"Individual, Open",Michael Jung,GER,Sara Algotsson Ostholt,SWE,Sandra Auffarth,GER,2012,Equestrian Eventing,,,,,
"Team, Open",Germany,GER,Great Britain,GBR,New Zealand,NZL,2012,Equestrian Eventing,,,,,
"Individual, Open",Steve Guerdat,SUI,Gerco SchrÃ¶der,NED,Cian O'Connor,IRL,2012,Equestrian Jumping,,,,,
"Team, Open",Great Britain,GBR,Netherlands,NED,Kingdom of Saudi Arabia,KSA,2012,Equestrian Jumping,,,,,
"Foil, Individual, Men",Lei Sheng,CHN,Alaaeldin Abouelkassem,EGY,Choi Byeong-Cheol,KOR,2012,Fencing,,,,,
"Foil, Team, Men",Italy,ITA,Japan,JPN,Germany,GER,2012,Fencing,,,,,
"ÃpÃ©e, Individual, Men",RubÃ©n Limardo,VEN,Bartosz Piasecki,NOR,Jeong Jin-Seon,KOR,2012,Fencing,,,,,
"Sabre, Individual, Men",Ãron SzilÃ¡gyi,HUN,Diego Occhiuzzi,ITA,Nikolay Kovalyov,RUS,2012,Fencing,,,,,
"Sabre, Team, Men",Republic of Korea,KOR,Romania,ROU,Italy,ITA,2012,Fencing,,,,,
"Foil, Individual, Women",Elisa Di Francisca,ITA,Arianna Errigo,ITA,Valentina Vezzali,ITA,2012,Fencing,,,,,
"Foil, Team, Women",Italy,ITA,Russian Federation,RUS,Republic of Korea,KOR,2012,Fencing,,,,,
"ÃpÃ©e, Individual, Women",Yana Shemiakina,UKR,Britta Heidemann,GER,Sun Yujie,CHN,2012,Fencing,,,,,
"ÃpÃ©e, Team, Women",People's Republic of China,CHN,Republic of Korea,KOR,United States,USA,2012,Fencing,,,,,
"Sabre, Individual, Women",Kim Ji-Yeon,KOR,Sofya Velikaya,RUS,Olha Kharlan,UKR,2012,Fencing,,,,,
"Football, Men",Mexico,MEX,Brazil,BRA,Republic of Korea,KOR,2012,Football,,,,,
"Football, Women",United States,USA,Japan,JPN,Canada,CAN,2012,Football,,,,,
"Handball, Men",France,FRA,Sweden,SWE,Croatia,CRO,2012,Handball,,,,,
"Handball, Women",Norway,NOR,Montenegro,MNE,Spain,ESP,2012,Handball,,,,,
"Hockey, Men",Germany,GER,Netherlands,NED,Australia,AUS,2012,Hockey,,,,,
"Hockey, Women",Netherlands,NED,Argentina,ARG,Great Britain,GBR,2012,Hockey,,,,,
"Extra-Lightweight, Men",Arsen Galstyan,RUS,Hiroaki Hiraoka,JPN,Felipe KitadaiRishod Sobirov,BRAUZB,2012,Judo,,,,,
"Half-Lightweight, Men",Lasha Shavdatuashvili,GEO,MiklÃ³s UngvÃ¡ri,HUN,Masashi EbinumaJo Jun-Ho,JPNKOR,2012,Judo,,,,,
"Lightweight, Men",Mansur Isayev,RUS,Riki Nakaya,JPN,Saynjargalyn Nyam-OchirUgo Legrand,MGLFRA,2012,Judo,,,,,
"Half-Middleweight, Men",Kim Jae-Beom,KOR,Ole Bischof,GER,Ivan NifontovAntoine Valois-Fortier,RUSCAN,2012,Judo,,,,,
"Middleweight, Men",Song Dae-Nam,KOR,Asley GonzÃ¡lez,CUB,Ilias IliadisMasashi Nishiyama,GREJPN,2012,Judo,,,,,
"Half-Heavyweight, Men",Tagir Khaybulayev,RUS,Naidangiin TÃ¼vshinbayar,MGL,Dimitri PetersHenk Grol,GERNED,2012,Judo,,,,,
"Heavyweight, Men",Teddy Riner,FRA,Aleksandr Mikhaylin,RUS,Andreas TÃ¶lzerRafael Silva,GERBRA,2012,Judo,,,,,
"Extra-Lightweight, Women",Sarah Menezes,BRA,Alina Dumitru,ROU,Charline Van SnickÃva Csernoviczki,BELHUN,2012,Judo,,,,,
"Half-Lightweight, Women",An Kum-Ae,PRK,Yanet Bermoy,CUB,Rosalba ForcinitiPriscilla Gneto,ITAFRA,2012,Judo,,,,,
"Lightweight, Women",Kaori Matsumoto,JPN,Corina CÄprioriu,ROU,Marti MalloyAutomne Pavia,USAFRA,2012,Judo,,,,,
"Half-Middleweight, Women",UrÅ¡ka Å½olnir,SLO,Xu Lili,CHN,Yoshie UenoGÃ©vrise Ãmane,JPNFRA,2012,Judo,,,,,
"Middleweight, Women",Lucie DÃ©cosse,FRA,Kerstin Thiele,GER,Yuri AlvearEdith Bosch,COLNED,2012,Judo,,,,,
"Half-Heavyweight, Women",Kayla Harrison,USA,Gemma Gibbons,GBR,Audrey TcheumÃ©oMayra Aguiar,FRABRA,2012,Judo,,,,,
"Heavyweight, Women",Idalys Ortiz,CUB,Mika Sugimoto,JPN,Karina BryantTong Wen,GBRCHN,2012,Judo,,,,,
"10 kilometres Open Water, Men",Oussama Mellouli,TUN,Thomas Lurz,GER,Richard Weinberger,CAN,2012,Marathon Swimming,,,,,
"10 kilometres Open Water, Women",Ãva Risztov,HUN,Haley Anderson,USA,Martina Grimaldi,ITA,2012,Marathon Swimming,,,,,
"Individual, Men",David Svoboda,CZE,Cao Zhongrong,CHN,ÃdÃ¡m Marosi,HUN,2012,Modern Pentathlon,,,,,
"Individual, Women",Laura AsadauskaitÄ,LTU,Samantha Murray,GBR,Yane Marques,BRA,2012,Modern Pentathlon,,,,,
"Individual, Women",Yevgeniya Kanayeva,RUS,Darya Dmitriyeva,RUS,Liubou Chapkashyna,BLR,2012,Rhythmic Gymnastics,,,,,
"Group, Women",Russian Federation,RUS,Belarus,BLR,Italy,ITA,2012,Rhythmic Gymnastics,,,,,
"Single Sculls, Men",Mah� Drysdale,NZL,Ondrej Synek,CZE,Alan Campbell,GBR,2012,Rowing,,,,,
"Double Sculls, Men",New Zealand,NZL,Italy,ITA,Slovenia,SLO,2012,Rowing,,,,,
"Coxless Pairs, Men",New Zealand,NZL,France,FRA,Great Britain,GBR,2012,Rowing,,,,,
"Quadruple Sculls, Men",Germany,GER,Croatia,CRO,Australia,AUS,2012,Rowing,,,,,
"Coxless Fours, Men",Great Britain,GBR,Australia,AUS,United States,USA,2012,Rowing,,,,,
"Eights, Men",Germany,GER,Canada,CAN,Great Britain,GBR,2012,Rowing,,,,,
"Lightweight Double Sculls, Men",Denmark,DEN,Great Britain,GBR,New Zealand,NZL,2012,Rowing,,,,,
"Lightweight Coxless Fours, Men",South Africa,RSA,Great Britain,GBR,Denmark,DEN,2012,Rowing,,,,,
"Single Sculls, Women",Mirka Knapkov�,CZE,Fie Udby Erichsen,DEN,Kim Crow,AUS,2012,Rowing,,,,,
"Double Sculls, Women",Great Britain,GBR,Australia,AUS,Poland,POL,2012,Rowing,,,,,
"Quadruple Sculls, Women",Ukraine,UKR,Germany,GER,United States,USA,2012,Rowing,,,,,
"Coxless Pairs, Women",Great Britain,GBR,Australia,AUS,New Zealand,NZL,2012,Rowing,,,,,
"Eights, Women",United States,USA,Canada,CAN,Netherlands,NED,2012,Rowing,,,,,
"Lightweight Double Sculls, Women",Great Britain,GBR,People's Republic of China,CHN,Greece,GRE,2012,Rowing,,,,,
"Windsurfer, Men",Dorian van Rijsselberge,NED,Nick Dempsey,GBR,Przemyslaw Miarczynski,POL,2012,Sailing,,,,,
"One Person Dinghy, Men",Tom Slingsby,AUS,Pavlos Kontides,CYP,Rasmus Myrgren,SWE,2012,Sailing,,,,,
"Two Person Dinghy, Men",Australia,AUS,Great Britain,GBR,Argentina,ARG,2012,Sailing,,,,,
"Two Person Keelboat, Men",Sweden,SWE,Great Britain,GBR,Brazil,BRA,2012,Sailing,,,,,
"Skiff, Men",Australia,AUS,New Zealand,NZL,Denmark,DEN,2012,Sailing,,,,,
"One Person Heavyweight Dinghy, Men",Ben Ainslie,GBR,Jonas H�gh Christensen,DEN,Jonathan Lobert,FRA,2012,Sailing,,,,,
"Windsurfer, Women",Marina Alabau,ESP,Tuuli Pet�j�,FIN,Zofia Noceti-Klepacka,POL,2012,Sailing,,,,,
"One Person Dinghy, Women",Xu Lijia,CHN,Marit Bouwmeester,NED,Evi Van Acker,BEL,2012,Sailing,,,,,
"Two Person Dinghy, Women",New Zealand,NZL,Great Britain,GBR,Netherlands,NED,2012,Sailing,,,,,
"Three Person Keelboat, Women",Spain,ESP,Australia,AUS,Finland,FIN,2012,Sailing,,,,,
"Air Pistol, 10 metres, Men",Jin Jong-O,KOR,Luca Tesconi,ITA,Andrija ZlatiÄ,SRB,2012,Shooting,,,,,
"Rapid-Fire Pistol, 25 metres, Men",Leuris Pupo,CUB,Vijay Kumar,IND,Ding Feng,CHN,2012,Shooting,,,,,
"Free Pistol, 50 metres, Men",Jin Jong-O,KOR,Choi Yeong-Rae,KOR,Wang Zhiwei,CHN,2012,Shooting,,,,,
"Air Rifle, 10 metres, Men",Alin Moldoveanu,ROU,NiccolÃ² Campriani,ITA,Gagan Narang,IND,2012,Shooting,,,,,
"Small-Bore Rifle, Three Positions, 50 metres, Men",NiccolÃ² Campriani,ITA,Kim Jong-Hyeon,KOR,Matt Emmons,USA,2012,Shooting,,,,,
"Small-Bore Rifle, Prone, 50 metres, Men",Siarhei Martynau,BLR,Lionel Cox,BEL,Rajmond Debevec,SLO,2012,Shooting,,,,,
"Trap, Men",Giovanni Cernogoraz,CRO,Massimo Fabbrizi,ITA,Fehaid Al-Deehani,KUW,2012,Shooting,,,,,
"Double Trap, Men",Peter Wilson,GBR,HÃ¥kan Dahlby,SWE,Vasily Mosin,RUS,2012,Shooting,,,,,
"Skeet, Men",Vincent Hancock,USA,Anders Golding,DEN,Nasser Al-Attiya,QAT,2012,Shooting,,,,,
"Air Pistol, 10 metres, Women",Guo Wenjun,CHN,CÃ©line Goberville,FRA,Olena Kostevych,UKR,2012,Shooting,,,,,
"Sporting Pistol, 25 metres, Women",Kim Jang-Mi,KOR,Chen Ying,CHN,Olena Kostevych,UKR,2012,Shooting,,,,,
"Air Rifle, 10 metres, Women",Yi Siling,CHN,Sylwia Bogacka,POL,Yu Dan,CHN,2012,Shooting,,,,,
"Small-Bore Rifle, Three Positions, 50 metres, Women",Jamie Beyerle-Gray,USA,Ivana MaksimoviÄ,SRB,AdÃ©la SÃ½korovÃ¡,CZE,2012,Shooting,,,,,
"Trap, Women",Jessica Rossi,ITA,Zuzana Å tefeÄekovÃ¡,SVK,Delphine Reau,FRA,2012,Shooting,,,,,
"Skeet, Women",Kim Rhode,USA,Wei Ning,CHN,Danka BartekovÃ¡,SVK,2012,Shooting,,,,,
"50 metres Freestyle, Men",Florent Manaudou,FRA,Cullen Jones,USA,CÃ©sar Cielo Filho,BRA,2012,Swimming,,,,,
"100 metres Freestyle, Men",Nathan Adrian,USA,James Magnussen,AUS,Brent Hayden,CAN,2012,Swimming,,,,,
"200 metres Freestyle, Men",Yannick Agnel,FRA,Park Tae-HwanSun Yang,KORCHN,â,â,2012,Swimming,,,,,
"400 metres Freestyle, Men",Sun Yang,CHN,Park Tae-Hwan,KOR,Peter Vanderkaay,USA,2012,Swimming,,,,,
"1,500 metres Freestyle, Men",Sun Yang,CHN,Ryan Cochrane,CAN,Oussama Mellouli,TUN,2012,Swimming,,,,,
"4 Ã 100 metres Freestyle Relay, Men",France,FRA,United States,USA,Russian Federation,RUS,2012,Swimming,,,,,
"4 Ã 200 metres Freestyle Relay, Men",United States,USA,France,FRA,People's Republic of China,CHN,2012,Swimming,,,,,
"100 metres Backstroke, Men",Matt Grevers,USA,Nick Thoman,USA,Ryosuke Irie,JPN,2012,Swimming,,,,,
"200 metres Backstroke, Men",Tyler Clary,USA,Ryosuke Irie,JPN,Ryan Lochte,USA,2012,Swimming,,,,,
"100 metres Breaststroke, Men",Cameron van der Burgh,RSA,Christian Sprenger,AUS,Brendan Hansen,USA,2012,Swimming,,,,,
"200 metres Breaststroke, Men",DÃ¡niel Gyurta,HUN,Michael Jamieson,GBR,Ryo Tateishi,JPN,2012,Swimming,,,,,
"100 metres Butterfly, Men",Michael Phelps,USA,Chad le ClosYevgeny Korotyshkin,RSARUS,â,â,2012,Swimming,,,,,
"200 metres Butterfly, Men",Chad le Clos,RSA,Michael Phelps,USA,Takeshi Matsuda,JPN,2012,Swimming,,,,,
"200 metres Individual Medley, Men",Michael Phelps,USA,Ryan Lochte,USA,LÃ¡szlÃ³ Cseh,HUN,2012,Swimming,,,,,
"400 metres Individual Medley, Men",Ryan Lochte,USA,Thiago Pereira,BRA,Kosuke Hagino,JPN,2012,Swimming,,,,,
"4 Ã 100 metres Medley Relay, Men",United States,USA,Japan,JPN,Australia,AUS,2012,Swimming,,,,,
"50 metres Freestyle, Women",Ranomi Kromowidjojo,NED,Aliaksandra Herasimenia,BLR,Marleen Veldhuis,NED,2012,Swimming,,,,,
"100 metres Freestyle, Women",Ranomi Kromowidjojo,NED,Aliaksandra Herasimenia,BLR,Tang Yi,CHN,2012,Swimming,,,,,
"200 metres Freestyle, Women",Allison Schmitt,USA,Camille Muffat,FRA,Bronte Barratt,AUS,2012,Swimming,,,,,
